-555.4564819,-438.5400085,66
-560.2966309,-442.9590149,66
-565.1399536,-447.3715515,66
-569.9711914,-451.7971497,66.1
-574.7874756,-456.2149963,66.2
-579.5782471,-460.6300964,66.1
-584.3519897,-465.0461731,66
-589.124939,-469.4570313,65.8
-593.8927612,-473.8706055,65.5
-598.664856,-478.2920532,65.2
-603.4238892,-482.7038879,64.8
-608.1551514,-487.1307068,64.2
-612.887146,-491.553772,63.7
-617.6166992,-495.9769897,63.1
-622.3494873,-500.4121704,62.9
-627.086731,-504.85849,62.7
-631.8154907,-509.3005981,62.6
-636.5383911,-513.7339478,62.5
-641.256958,-518.1641235,62.1
-645.9688721,-522.5905762,61.7
-650.6820068,-527.0103149,61.3
-655.3864136,-531.4429321,60.8
-660.0618896,-535.8822021,60.5
-664.7148438,-540.3233032,60.2
-669.3388062,-544.7633667,59.9
-673.9285278,-549.2003784,59.6
-678.4860229,-553.6456909,59
-683.0065918,-558.1112061,58.5
-687.4981079,-562.5722656,58
-691.9576416,-567.0391235,57.4
-696.3942871,-571.5227661,56.9
-700.819397,-576.0029297,56.3
-705.229248,-580.4807129,55.8
-709.6207886,-584.9562988,55.3
-713.9935913,-589.4212036,54.5
-718.3424683,-593.8903198,53.7
-722.6716919,-598.361145,52.9
-726.9831543,-602.8256226,52.2
-731.2775269,-607.300354,51.6
-735.5527344,-611.7891846,51.1
-739.803894,-616.2976685,50.6
-744.0142212,-620.8114624,50.1
-748.1970215,-625.3306274,49.4
-752.3449707,-629.855957,48.6
-756.4784546,-634.3861084,47.9
-760.5941772,-638.9335938,47.1
-764.6939697,-643.5015869,46.4
-768.7750854,-648.071228,45.6
-772.854248,-652.6412354,44.9
-776.9176025,-657.2219849,44.3
-780.9714966,-661.791687,43.7
-785.0134888,-666.3634033,43.1
-789.0487671,-670.9376831,42.3
-793.085022,-675.4906006,41.5
-797.1094971,-680.0307617,40.6
-801.1317139,-684.5505371,39.6
-805.1448364,-689.0330811,38.8
-809.1481934,-693.4707642,37.9
-813.1362305,-697.8654785,37
-817.1149902,-702.2138672,36.2
-821.0871582,-706.7441406,35.5
-825.0689087,-711.7999878,34.7
-828.9303589,-716.7609863,34.3
-832.5111694,-721.5008545,34.1
-835.9902344,-726.0643921,34
-839.3168945,-730.3634644,34
-842.7158813,-734.715332,34
-846.2837524,-739.1903687,34
-849.935791,-743.6956177,34
-853.7840576,-748.2714844,34
-857.4788818,-752.428833,33.9
-860.9436035,-755.9586182,33.8
-864.4083252,-759.4883423,33.7
-868.7710571,-763.9118652,33.7
-873.1040649,-768.2805176,33.8
-877.1693115,-772.1554565,33.9
-881.2344971,-776.0304565,34
-885.7653198,-780.336731,34.2
-890.3050537,-784.6342163,34.3
-894.9250488,-788.8526611,34.6
-899.460083,-792.994873,34.9
-903.8056641,-796.9571533,35.2
-908.1672974,-800.9092407,35.7
-912.5457764,-804.8570557,35.9
-916.9443359,-808.8040161,36.1
-921.3536377,-812.7565308,36.4
-925.7781372,-816.6975708,36.7
-930.2276001,-820.6397095,36.9
-934.6877441,-824.5819702,37.3
-939.1669922,-828.5158691,37.8
-943.6729126,-832.4414063,38.4
-948.1994019,-836.3736572,38.9
-952.7506104,-840.3231812,39.1
-957.3214111,-844.3044434,39.2
-961.8995361,-848.2911377,39.4
-966.461731,-852.2680664,39.2
-971.0309448,-856.2474365,39
-975.5986938,-860.2183228,38.9
-980.1853638,-864.2049561,38.8
-984.8029785,-868.2125854,39
-989.4473267,-872.2289429,39.3
-994.0994873,-876.2547607,39.5
-998.788269,-880.2866821,39.8
-1003.504028,-884.3341675,39.9
-1008.252808,-888.4021606,40
-1013.038818,-892.4810181,40
-1017.850281,-896.576416,39.9
-1022.688171,-900.6809082,40.1
-1027.563843,-904.8002319,40.2
-1032.475952,-908.9448242,40.3
-1037.417236,-913.0922241,40.4
-1042.374878,-917.2501831,40.4
-1047.359619,-921.4135132,40.5
-1052.371948,-925.5879517,40.7
-1057.40686,-929.765564,41
-1062.472168,-933.9456787,41.1
-1067.559692,-938.1254883,41.3
-1072.667969,-942.3032227,41.4
-1077.791626,-946.4745483,41.5
-1082.925171,-950.6383057,41.7
-1088.084351,-954.8015137,41.8
-1093.265259,-958.9730835,41.9
-1098.468994,-963.1554565,42.2
-1103.680176,-967.3425293,42.4
-1108.907715,-971.5369873,42.7
-1114.151245,-975.7380981,42.8
-1119.404053,-979.9335327,42.8
-1124.682373,-984.1405029,42.8
-1129.967529,-988.3406372,42.9
-1135.296143,-992.5465698,43.1
-1140.643555,-996.7543945,43.3
-1145.984863,-1000.953918,43.4
-1151.342773,-1005.139954,43
-1156.689941,-1009.306641,42.7
-1162.056641,-1013.466736,42.4
-1167.45813,-1017.637817,42.1
-1172.864136,-1021.814392,41.7
-1178.284058,-1025.983398,41.6
-1183.710938,-1030.158936,41.8
-1189.148926,-1034.338013,42
-1194.586792,-1038.504761,42.3
-1200.015137,-1042.65918,42.5
-1205.449951,-1046.808594,42.8
-1210.887207,-1050.960327,43
-1216.332642,-1055.110229,43.2
-1221.785889,-1059.253052,43.4
-1227.220703,-1063.381348,43.5
-1232.643433,-1067.477295,43.5
-1238.064697,-1071.563599,43.4
-1243.468994,-1075.625977,43.3
-1248.852173,-1079.665649,43
-1254.211304,-1083.674927,42.7
-1259.541748,-1087.658691,42.5
-1264.831543,-1091.607544,42.2
-1270.083496,-1095.537354,42.1
-1275.29895,-1099.447266,42.1
-1280.476563,-1103.34021,42.1
-1285.609863,-1107.2052,42.2
-1290.701782,-1111.038452,42.1
-1295.756836,-1114.842773,41.7
-1300.777466,-1118.638916,41.7
-1305.754028,-1122.434326,41.7
-1310.690674,-1126.223999,41.9
-1315.584351,-1130.005249,42.1
-1320.428101,-1133.778198,42.3
-1325.224121,-1137.550781,42.7
-1329.97644,-1141.309082,42.7
-1334.685913,-1145.032104,42.5
-1339.362305,-1148.736206,42
-1344.00415,-1152.430908,41.4
-1348.607666,-1156.115479,41
-1353.182739,-1159.789307,40.6
-1357.722778,-1163.460938,40.2
-1362.228394,-1167.131592,39.8
-1366.695679,-1170.811035,39.5
-1371.129395,-1174.51416,39.1
-1375.530273,-1178.203125,38.6
-1379.88501,-1181.878174,38
-1384.196045,-1185.548462,37.5
-1388.464478,-1189.199951,37
-1392.684082,-1192.837402,36.6
-1396.858765,-1196.464478,36.3
-1400.977661,-1200.059448,36.1
-1405.026123,-1203.622803,35.8
-1409.029541,-1207.15564,35.6
-1413.002319,-1210.666016,35.4
-1416.926514,-1214.157593,35.2
-1420.802979,-1217.622437,35
-1424.648682,-1221.036987,34.8
-1428.444214,-1224.463379,34.6
-1432.213013,-1227.882935,34.4
-1435.963013,-1231.283081,34
-1439.667236,-1234.697632,33.4
-1443.348755,-1238.099854,32.7
-1447.01062,-1241.50293,32.1
-1450.642578,-1244.927246,31.6
-1454.246826,-1248.366699,31.1
-1457.802368,-1251.786011,30.8
-1461.297852,-1255.18396,30.4
-1464.744141,-1258.539795,30.1
-1468.134521,-1261.848877,29.7
-1471.453125,-1265.134521,29.3
-1474.732788,-1268.425537,28.8
-1477.962646,-1271.695435,28.3
-1481.147095,-1274.981812,28
-1484.291382,-1278.260376,27.6
-1487.398193,-1281.529907,27.2
-1490.474243,-1284.784424,26.8
-1493.526978,-1288.030884,26.5
-1496.55896,-1291.274414,26.1
-1499.551636,-1294.507813,25.8
-1502.495728,-1297.72583,25.4
-1505.384399,-1300.911011,25.1
-1508.195068,-1304.04187,24.9
-1510.960205,-1307.151733,24.7
-1513.683228,-1310.255493,24.6
-1516.340698,-1313.308228,24.5
-1518.922119,-1316.291504,24.3
-1521.446167,-1319.244263,24.2
-1523.920044,-1322.171143,24.1
-1526.326782,-1325.033325,24.1
-1528.6427,-1327.809937,24.1
-1530.928589,-1330.558472,24.1
-1533.178223,-1333.274414,24
-1535.392578,-1335.972046,23.8
-1537.567871,-1338.640625,23.5
-1539.710327,-1341.289917,23.3
-1541.817261,-1343.904785,23
-1543.874023,-1346.467651,22.7
-1545.839233,-1348.934937,22.4
-1547.838501,-1351.464844,22
-1549.901733,-1354.083862,21.7
-1551.895508,-1356.60437,21.3
-1553.729492,-1358.93103,21
-1555.54248,-1361.240601,20.7
-1557.343872,-1363.521851,20.4
-1559.092285,-1365.722168,20.2
-1560.764893,-1367.802612,19.9
-1562.390625,-1369.798828,19.6
-1563.945801,-1371.668213,19.4
-1565.482056,-1373.473511,19.2
-1567.01355,-1375.22522,19
-1568.533813,-1376.929565,18.8
-1570.039429,-1378.585938,18.6
-1571.563965,-1380.404419,18.5
-1573.236694,-1384.026123,18.3
-1574.857178,-1387.425415,18.2
-1576.007446,-1388.82251,18.1
-1577.147461,-1390.194336,18
-1578.196411,-1391.339355,17.9
-1579.245239,-1392.484375,17.8
-1580.383911,-1393.63269,17.6
-1581.509766,-1394.75415,17.5
-1582.519897,-1395.633545,17.3
-1583.521118,-1396.498535,17.2
-1584.443237,-1397.233276,17.1
-1585.371216,-1397.950195,16.9
-1586.352051,-1398.506714,16.8
